GEOID,max_intensity,population,Total_Num_Building,BHI_factor_low,shelter_seeking_low,numerator_low,SVI_Value,SVI_Value_Mapped
6013368002,0.04,4148,818.0,0.0002,0.3759,0.01,0.965,0.5
6067006600,0.02,7103,2040.0,0.0001,0.36885,0.01,0.9422,0.5
6097153001,0.04,7397,1363.0,0.0001,0.36545,0.01,0.8238,0.5
6085510600,0.02,6286,1801.0,0.0002,0.34719,0.02,0.514,0.3
6001407101,0.02,3558,642.0,0.0002,0.3439,0.01,0.8912,0.5
6113011103,0.02,3271,845.0,0.0003,0.33896999999999994,0.02,0.5852,0.3
6113010102,0.02,1401,742.0,0.0005,0.3322,0.02,0.864,0.5
6001409400,0.02,5379,1227.0,0.0001,0.31675,0.01,0.8494,0.5
6075023103,0.02,4901,305.0,0.0001,0.3139,0.0,0.9425,0.5
6041104300,0.06,1564,749.0,0.002,0.30522000000000005,0.08,0.0314,0.1
6067007011,0.02,6494,1294.0,0.0002,0.30174,0.01,0.7112,0.3
6113010505,0.02,5968,1969.0,0.0002,0.28878,0.02,0.2014,0.3
6001430900,0.02,5137,971.0,0.0001,0.27735,0.01,0.883,0.5
6067008911,0.02,2434,444.0,0.0002,0.27655,0.01,0.9084,0.5
6001409700,0.02,5523,1205.0,0.0001,0.27175,0.01,0.9847,0.5
6041106002,0.04,5666,1782.0,0.0002,0.26967,0.01,0.6232,0.3
6097152801,0.04,4526,1264.0,0.0002,0.26925,0.01,0.5522,0.3
6095253402,0.02,8381,2335.0,0.0001,0.26222999999999996,0.01,0.5994,0.3
6001409300,0.02,5701,1386.0,0.0001,0.26145,0.01,0.8358,0.5
6013332000,0.02,7719,2310.0,0.0001,0.25749,0.01,0.5674,0.3
6075011700,0.02,1905,82.0,0.0003,0.25745,0.0,0.9222,0.5
6081600800,0.02,7648,409.0,0.0001,0.25515,0.0,0.8243,0.5
6067007007,0.02,5691,1467.0,0.0001,0.25215,0.01,0.8021,0.5
6081600100,0.04,5474,1676.0,0.0002,0.24902999999999997,0.01,0.6017,0.3
6067005301,0.02,5508,571.0,0.0001,0.2457,0.0,0.9523,0.5
6001428700,0.02,4751,1278.0,0.0001,0.2329,0.01,0.9036,0.5
6075042601,0.02,3917,68.0,0.0002,0.2322,0.0,0.5197,0.3
6001402500,0.02,2010,230.0,0.0002,0.2286,0.0,0.866,0.5
6075012502,0.02,4482,8.0,0.0001,0.2259,0.0,0.9892,0.5
6067006300,0.02,5262,1817.0,0.0001,0.22565,0.01,0.9629,0.5
6013305000,0.02,7064,1965.0,0.0001,0.22495,0.01,0.9723,0.5
6001433500,0.02,4557,1440.0,0.0002,0.22038,0.01,0.6778,0.3
6067007417,0.02,3685,900.0,0.0002,0.21993,0.01,0.4316,0.3
6081613501,0.02,4148,1246.0,0.0002,0.21717,0.01,0.4688,0.3
6075015900,0.02,4630,80.0,0.0001,0.2158,0.0,0.8001,0.5
6001403900,0.02,3943,565.0,0.0002,0.21483,0.01,0.5189,0.3
6013310000,0.04,6106,1353.0,0.0001,0.2136,0.0,0.8754,0.5
6013374000,0.02,4994,1519.0,0.0001,0.2104,0.01,0.9205,0.5
6067004203,0.02,5889,1155.0,0.0001,0.20935,0.0,0.877,0.5
